Fecha,Close,Ticker
2021-12-06,165.320007,AAPL
2021-12-06,166.220001,GLD
2021-12-06,171.3685,AMZN
2021-12-06,234.160004,VTI
2021-12-06,317.869995,META
2021-12-06,326.190002,MSFT
2021-12-06,336.33667,TSLA
2021-12-06,386.200012,QQQ
2021-12-06,421.820007,VOO
2021-12-06,467.609985,CSPX.L
2021-12-07,32.426998,NVDA
2021-12-07,39.299999,XLF
2021-12-07,61.599998,IEMG
2021-12-07,79.410004,EFA
2021-12-07,86.260002,XLK
2021-12-07,147.269501,GOOGL
2021-12-07,151.0,TLT
2021-12-07,166.809998,GLD
2021-12-07,171.179993,AAPL
2021-12-07,176.164505,AMZN
2021-12-07,239.169998,VTI
2021-12-07,322.809998,META
2021-12-07,334.920013,MSFT
2021-12-07,350.583344,TSLA
2021-12-07,397.829987,QQQ
2021-12-07,430.48999,VOO
2021-12-07,478.209991,CSPX.L
2021-12-08,31.826,NVDA
2021-12-08,39.09,XLF
2021-12-08,61.900002,IEMG
2021-12-08,79.559998,EFA
2021-12-08,86.654999,XLK
2021-12-08,148.186493,GOOGL
2021-12-08,148.389999,TLT
2021-12-08,166.899994,GLD
2021-12-08,175.080002,AAPL
2021-12-08,176.158005,AMZN
2021-12-08,240.199997,VTI
2021-12-08,330.559998,META
2021-12-08,334.970001,MSFT
2021-12-08,356.320007,TSLA
2021-12-08,399.609985,QQQ
2021-12-08,431.700012,VOO
2021-12-08,477.470001,CSPX.L
2021-12-09,30.49,NVDA
2021-12-09,39.009998,XLF
2021-12-09,61.52,IEMG
2021-12-09,78.900002,EFA
2021-12-09,85.720001,XLK
2021-12-09,147.638504,GOOGL
2021-12-09,149.220001,TLT
2021-12-09,165.880005,GLD
2021-12-09,174.171005,AMZN
2021-12-09,174.559998,AAPL
2021-12-09,237.910004,VTI
2021-12-09,329.820007,META
2021-12-09,333.100006,MSFT
2021-12-09,334.600006,TSLA
2021-12-09,393.730011,QQQ
2021-12-09,428.76001,VOO
2021-12-09,478.450012,CSPX.L
2021-12-10,30.198,NVDA
2021-12-10,39.049999,XLF
2021-12-10,61.619999,IEMG
2021-12-10,79.07,EFA
2021-12-10,87.440002,XLK
2021-12-10,148.001495,GOOGL
2021-12-10,148.860001,TLT
2021-12-10,166.580002,GLD
2021-12-10,172.212006,AMZN
2021-12-10,179.449997,AAPL
2021-12-10,239.529999,VTI
2021-12-10,329.75,META
2021-12-10,339.01001,TSLA
2021-12-10,342.540009,MSFT
2021-12-10,398.01001,QQQ
2021-12-10,432.850006,VOO
2021-12-10,477.73999,CSPX.L
2021-12-13,28.160999,NVDA
2021-12-13,38.630001,XLF
2021-12-13,59.299999,IEMG
2021-12-13,76.989998,EFA
2021-12-13,86.139999,XLK
2021-12-13,145.826508,GOOGL
2021-12-13,151.059998,TLT
2021-12-13,167.0,GLD
